project_name,location,full_address,latitude,longitude
Crown Tower,"Manila, Metro Manila","Crown Tower, Manila, Metro Manila, Philippines",14.605359,120.9896093
KL Tower,"Valenzuela, Makati, Metro Manila","KL Tower, Valenzuela, Makati, Metro Manila, Philippines",14.571361,121.0241925
Avant at The Fort,"BGC, Taguig, Metro Manila","Avant at The Fort, BGC, Taguig, Metro Manila, Philippines",14.5493202,121.0447529
Sorrento Oasis,"Rosario, Pasig, Metro Manila","Sorrento Oasis, Rosario, Pasig, Metro Manila, Philippines",14.5881186,121.0896853
Maui Oasis,"Maybunga, Pasig, Metro Manila","Maui Oasis, Maybunga, Pasig, Metro Manila, Philippines",14.5768761,121.0879674
Capri Oasis,"Maybunga, Pasig, Metro Manila","Capri Oasis, Maybunga, Pasig, Metro Manila, Philippines",14.5808395,121.0826643
Bali Oasis Phase 2,"Santolan, Pasig, Metro Manila","Bali Oasis Phase 2, Santolan, Pasig, Metro Manila, Philippines",14.6209459,121.0909652
Asiana Oasis,"Moonwalk, Parañaque, Metro Manila","Asiana Oasis, Moonwalk, Parañaque, Metro Manila, Philippines",14.494569,121.0053597
The Signature,"Pag-Ibig Sa Nayon, Quezon City, Metro Manila","The Signature, Pag-Ibig Sa Nayon, Quezon City, Metro Manila, Philippines",14.6452923,120.9953394
100 West Makati,"Pio Del Pilar, Makati, Metro Manila","100 West Makati, Pio Del Pilar, Makati, Metro Manila, Philippines",14.5584322,121.0098588
Studio A,"Loyola Heights, Quezon City, Metro Manila","Studio A, Loyola Heights, Quezon City, Metro Manila, Philippines",14.6344883,121.0731133
Studio Zen,"Barangay 33, Pasay, Metro Manila","Studio Zen, Barangay 33, Pasay, Metro Manila, Philippines",14.5593832,120.995863
Solemare Parksuites Phase One,"Metro Manila, Parañaque","Solemare Parksuites Phase One, Metro Manila, Parañaque, Philippines",14.5302555,120.9885253
Mayfair Tower,"Ermita, Manila, Metro Manila","Mayfair Tower, Ermita, Manila, Metro Manila, Philippines",14.5800456,120.9805966
Dream Tower,"Bagumbayan, Quezon City, Metro Manila","Dream Tower, Bagumbayan, Quezon City, Metro Manila, Philippines",14.6050191,121.0810428
Oxford Parksuites,"Metro Manila, Manila, Tondo","Oxford Parksuites, Metro Manila, Manila, Tondo, Philippines",14.6074388,120.9784512
Princeview Parksuites,"Metro Manila, Manila, Binondo","Princeview Parksuites, Metro Manila, Manila, Binondo, Philippines",14.5979546,120.9760185
Aspire Tower,"Pasong Tamo, Quezon City, Metro Manila","Aspire Tower, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6051599,121.080565
Monarch Parksuites,"Metro Manila, Parañaque, Baclaran","Monarch Parksuites, Metro Manila, Parañaque, Baclaran, Philippines",14.5295643,120.9854747
The Infinity Tower,"Pinagsama, Taguig, Metro Manila","The Infinity Tower, Pinagsama, Taguig, Metro Manila, Philippines",14.5472085,121.0513889
Clairemont Hills,"Corazon de Jesus, San Juan, Metro Manila","Clairemont Hills, Corazon de Jesus, San Juan, Metro Manila, Philippines",14.606923,121.0324471
Solemare Parksuites Phase 2,"Don Bosco, Parañaque, Metro Manila","Solemare Parksuites Phase 2, Don Bosco, Parañaque, Metro Manila, Philippines",14.4823431,121.0179115
Fifth Avenue Place,"BGC, Taguig, Metro Manila","Fifth Avenue Place, BGC, Taguig, Metro Manila, Philippines",14.5490236,121.0469176
McKinley Park Residences,"BGC, Taguig, Metro Manila","McKinley Park Residences, BGC, Taguig, Metro Manila, Philippines",14.5535432,121.0468132
Robinsons Place Residence,"Quiapo, Manila, Metro Manila","Robinsons Place Residence, Quiapo, Manila, Metro Manila, Philippines",14.5781939,120.9832863
The Fort Residences,"BGC, Taguig, Metro Manila","The Fort Residences, BGC, Taguig, Metro Manila, Philippines",14.5533719,121.0447773
Three Adriatico Place,"Ermita, Manila, Metro Manila","Three Adriatico Place, Ermita, Manila, Metro Manila, Philippines",14.5754741,120.983353
Vimana Verde Residences,"Oranbo, Pasig, Metro Manila","Vimana Verde Residences, Oranbo, Pasig, Metro Manila, Philippines",14.5774912,121.0673182
Two Adriatico Place,"Quiapo, Manila, Metro Manila","Two Adriatico Place, Quiapo, Manila, Metro Manila, Philippines",14.5749609,120.9837504
One Gateway Place,"Barangka Ilaya, Mandaluyong, Metro Manila","One Gateway Place, Barangka Ilaya, Mandaluyong, Metro Manila, Philippines",14.5711297,121.049075
East Of Galeria,"San Antonio, Pasig, Metro Manila","East Of Galeria, San Antonio, Pasig, Metro Manila, Philippines",14.5884375,121.0606114
One Adriatico Place,"Quiapo, Manila, Metro Manila","One Adriatico Place, Quiapo, Manila, Metro Manila, Philippines",14.5745307,120.9838456
Gateway Regency Studios,"Barangka Ilaya, Mandaluyong, Metro Manila","Gateway Regency Studios, Barangka Ilaya, Mandaluyong, Metro Manila, Philippines",14.5703125,121.0490625
The Trion Towers III,"BGC, Taguig, Metro Manila","The Trion Towers III, BGC, Taguig, Metro Manila, Philippines",14.5460967,121.0495991
The Radiance Manila Bay,"Barangay 3, Pasay, Metro Manila","The Radiance Manila Bay, Barangay 3, Pasay, Metro Manila, Philippines",14.5577652,120.9886078
The Magnolia Residences,"Kaunlaran, Quezon City, Metro Manila","The Magnolia Residences, Kaunlaran, Quezon City, Metro Manila, Philippines",14.6138356,121.0384865
The Sapphire Bloc  – South Tower,"San Antonio, Pasig, Metro Manila","The Sapphire Bloc  – South Tower, San Antonio, Pasig, Metro Manila, Philippines",14.5876781,121.0625095
Gateway Garden Heights,"Barangka Ilaya, Mandaluyong, Metro Manila","Gateway Garden Heights, Barangka Ilaya, Mandaluyong, Metro Manila, Philippines",14.5705462,121.0487839
