title,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_by
"Nice Condo for Sale in The Columns - Tower 2, Makati City",,,,40 sqm,"₱ 9,800,000","Legazpi Village, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,,PhilPro Real Estate
Ready for occupancy For Sale 1 Bedroom in One Central | Best Realtor,Two Central,Two Central,,46 sqm,"₱ 7,700,000","Bel-Air, Makati",1 bedroom,1 bathroom,12,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-central/,Best Realtor
For Sale 1 bedroom in Makati RFO near CBD| Best Realtor,,,,46 sqm,"₱ 7,900,000","Bel-Air, Makati",1 bedroom,1 bathroom,19,Fully furnished,Condo,For Sale,,,,,Best Realtor
"Move in Ready - For sale 1 Bedroom in One Central, Salcedo, Makati | Best Realtor",,,46 sqm,46 sqm,"₱ 6,800,000","Bel-Air, Makati",1 bedroom,1 bathroom,46,Fully furnished,Condo,For Sale,,,,,Best Realtor
"Affordbale and Move-In-Ready 1 Bedroom For sale in The Beacon, Makati, For Sale | Best Realtor",,,42 sqm,42 sqm,"₱ 5,000,000","Chino Roces, Makati",1 bedroom,1 bathroom,30,Fully furnished,Condo,For Sale,,,,,Best Realtor
"Affordable 1 Bedroom condo in Makati, For Sale | Best Realtor",,,,42 sqm,"₱ 5,800,000","Chino Roces, Makati",1 bedroom,1 bathroom,47,Fully furnished,Condo,For Sale,,,,,Best Realtor
"For sale Condo unit in Chino Roces, Makati | Best Realtor",,,,43 sqm,"₱ 5,500,000","Chino Roces, Makati",1 bedroom,1 bathroom,23,Fully furnished,Condo,For Sale,,,,,Best Realtor
"One Bedroom 1BR Unit for Sale in Kroma Tower, Legazpi Village, Makati City",,,54 sqm,54 sqm,"₱ 13,000,000","Legazpi Village, Makati",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,1,,,Zach Pe
"Greenbelt Parkplace | Two Bedroom 2BR Unit For Sale in Greenbelt Parkplace, Legazpi Village, Makati City",,,73 sqm,73 sqm,"₱ 14,500,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,1,,,Zach Pe
"FOR SALE: 3-Bedroom Condominium in Signa Designer Residences, Makati",Signa Designer Residences,Signa Designer Residences,93 sqm,93 sqm,"₱ 16,000,000","Bel-Air, Makati",3 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/signa-designer-residences-1/,RE/MAX Capital
2 Bedroom Condo FOR SALE in Salcedo Skysuites Salcedo Village Makati,Salcedo Skysuites,Salcedo Skysuites,80 sqm,80 sqm,"₱ 16,200,000","Bel-Air, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/salcedo-skysuites/,Kevin Ochoa
Good Deal 3BR 218 sqm Skyflat in Garden Tower Makati For Sale,Garden Towers,Garden Towers,218 sqm,218 sqm,"₱ 73,990,000","Makati, Metro Manila",3 bedrooms,3 bathrooms,54,Partly furnished,Penthouse,For Sale,2022,2,Freehold,https://www.lamudi.com.ph/projects/garden-towers-1/,Yanyan Li - REMAX Resus
For Sale: 3-Bedroom 3BR Condo in Makati City at The Salcedo Park,The Salcedo Park,The Salcedo Park,,179 sqm,"₱ 30,000,000","Bel-Air, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-salcedo-park/,Jackson Lim
SEMI-FURNISHED 3 BEDROOM CONDO IN SALCEDO PARK CONDOMINIUM,The Salcedo Park Condominum,The Salcedo Park Condominum,180 sqm,180 sqm,"₱ 36,500,000","Bel-Air, Makati",3 bedrooms,3 bathrooms,,Partly furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/41032-73-38bea5f6aa94-9311-18a62f4b-bda7-4090,Rhonalyn Sinag
2BR Unit for Sale at One Rockwell in Makati City,One Rockwell,One Rockwell,100 sqm,100 sqm,"₱ 30,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/one-rockwell/,Jared Dimangondayao
RUSH SALE Solstice Tower 3BR Furnished Code 7655,Solstice Towers,Solstice Towers,109 sqm,109 sqm,"₱ 19,620,000","Makati, Metro Manila",3 bedrooms,3 bathrooms,36,Partly furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/solstice-towers/,Jhon Padua
