REGION,INSTITUTION_NAME,INSTITUTION_TYPE,PROVINCE,MUNICIPALITY_CITY,FULL_ADDRESS
13 - Nat. Capital Region,University of the East-Caloocan,Private,Metro Manila,Caloocan,"University of the East-Caloocan, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,University of the Philippines-Diliman,SUC,Metro Manila,Quezon City,"University of the Philippines-Diliman, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,University of the Philippines-Manila,SUC,Metro Manila,Manila,"University of the Philippines-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Angelicum College,Private,Metro Manila,Manila,"Angelicum College, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Universidad de Manila,LUC,Metro Manila,Manila,"Universidad de Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Don Bosco Center of Studies,Private,Metro Manila,Parañaque,"Don Bosco Center of Studies, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,IETI College-Alabang,Private,Metro Manila,Muntinlupa,"IETI College-Alabang, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,Our Lady of Perpetual 2cor College,Private,Metro Manila,Marikina,"Our Lady of Perpetual 2cor College, Marikina, Metro Manila, Philippines"
13 - Nat. Capital Region,San Beda College-Alabang,Private,Metro Manila,Muntinlupa,"San Beda College-Alabang, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Dominic Savio College,Private,Metro Manila,Caloocan,"St. Dominic Savio College, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,St. John Technological College of the Philippines,Private,Metro Manila,Quezon City,"St. John Technological College of the Philippines, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College-Alabang,Private,Metro Manila,Muntinlupa,"STI College-Alabang, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College-Cubao,Private,Metro Manila,Quezon City,"STI College-Cubao, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College-Shaw,Private,Metro Manila,Manila,"STI College-Shaw, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College-Global City,Private,Metro Manila,Taguig,"STI College-Global City, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College-Caloocan,Private,Metro Manila,Caloocan,"STI College-Caloocan, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College-Muñoz EDSA,Private,Metro Manila,Quezon City,"STI College-Muñoz EDSA, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College-Novaliches,Private,Metro Manila,Quezon City,"STI College-Novaliches, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College-Fairview,Private,Metro Manila,Quezon City,"STI College-Fairview, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College Pasay-EDSA,Private,Metro Manila,Manila,"STI College Pasay-EDSA, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine Rehabilitation Institute Foundation,Private,Metro Manila,Quezon City,"Philippine Rehabilitation Institute Foundation, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Immaculada Concepcion College,Private,Metro Manila,Caloocan,"Immaculada Concepcion College, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,West Bay College,Private,Metro Manila,Muntinlupa,"West Bay College, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,System Plus Computer College-Caloocan,Private,Metro Manila,Caloocan,"System Plus Computer College-Caloocan, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Saint Bernadette College of Alabang,Private,Metro Manila,Muntinlupa,"Saint Bernadette College of Alabang, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,Children of Mary Immaculate College,Private,Metro Manila,Caloocan,"Children of Mary Immaculate College, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Informatics College-Manila,Private,Metro Manila,Manila,"Informatics College-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,The Fisher Valley College,Private,Metro Manila,Taguig,"The Fisher Valley College, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,La Consolacion College-Novaliches,Private,Metro Manila,Caloocan,"La Consolacion College-Novaliches, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,National Defense College,OGS,Metro Manila,Quezon City,"National Defense College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine Public Safety College,OGS,Metro Manila,,
13 - Nat. Capital Region,ABE International College of Business and Economics-Manila,Private,Metro Manila,Manila,"ABE International College of Business and Economics-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,AMA Computer College-Caloocan,Private,Metro Manila,Caloocan,"AMA Computer College-Caloocan, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,AMA Computer College-Fairview,Private,Metro Manila,Quezon City,"AMA Computer College-Fairview, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,AMA Computer College-Parañaque,Private,Metro Manila,Parañaque,"AMA Computer College-Parañaque, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,AMA Computer College-Sta. Mesa,Private,Metro Manila,Manila,"AMA Computer College-Sta. Mesa, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Divine Mercy College Foundation,Private,Metro Manila,Caloocan,"Divine Mercy College Foundation, Caloocan, Metro Manila, Philippines"
